Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Microsoft Union City Campus,georgia,33.62435349442588,-84.55762800785715,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-union-city/,Hyperscale,P2,True,394200.0,1,
Meta Kuna Data Center,idaho,43.4630993,-116.2674797,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/meta-kuna-data-center/,Hyperscale,P2,False,394200.0,1,
Meta DeKalb Campus,illinois,41.8891321,-88.7269704,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/meta-dekalb-data-center/,Hyperscale,P2,True,394200.0,1,
Microsoft Elk Grove Campus,illinois,42.02389476247589,-87.97152641675528,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/microsoft-elk-grove-campus/,Hyperscale,P2,True,394200.0,1,
Microsoft Hoffman Estates Campus,illinois,42.076963,-88.133888,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/microsoft-hoffman-estates-campus/,Hyperscale,P2,True,394200.0,1,
Microsoft Northlake,illinois,41.9229989,-87.9182329,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/microsoft-northlake/,Hyperscale,P2,False,394200.0,1,
Microsoft Plano (IL),illinois,41.6900357,-88.48881039999999,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/microsoft-plano-il/,Hyperscale,P2,False,394200.0,1,
Pearl Technology Bloomington Data Center,illinois,40.4796501,-88.9909055,50.0,1.22,https://pearltechnology.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/bloomington/a5-bloomington/,Hyperscale,P3,False,394200.0,1,
Pearl Technology Peoria Data Center,illinois,40.696644,-89.583765,50.0,1.22,https://pearltechnology.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/peoria/a5-peoria/,Hyperscale,P3,False,394200.0,1,
Rackspace Chicago,illinois,41.9942563,-87.96196549999999,50.0,1.22,https://www.rackspace.com/about/data-centers/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/rackspace-chicago/,Hyperscale,P3,False,394200.0,1,
Amazon AWS - New Carlisle North Campus,indiana,41.68757010687629,-86.46677606513683,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-campus/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC1,indiana,41.69211263157376,-86.46694445294087,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc1/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC2,indiana,41.69211263157376,-86.46475541148838,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc2/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC3,indiana,41.69212834909544,-86.46374508466417,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc3/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC4,indiana,41.688576091554,-86.47513230991217,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc4/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC5,indiana,41.68854465477092,-86.47296431693518,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc5/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC6,indiana,41.68863896507404,-86.47189084468445,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc6/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC7,indiana,41.68859180993976,-86.4698070456095,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc7/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC8,indiana,41.69187686828786,-86.46161918863821,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc8/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle North DC9,indiana,41.688576091554,-86.46182967339325,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc9/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South Campus,indiana,41.665512,-86.47261,50.0,1.22,https://aws.amazon.com/es/about-aws/global-infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC1,indiana,41.67015951191495,-86.47927955109098,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc1/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC2,indiana,41.67037257685003,-86.47064474450089,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc2/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC3,indiana,41.66888110749527,-86.47072253555125,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc3/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC4,indiana,41.66851861799765,-86.4793372515413,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc4/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC5,indiana,41.66767635548396,-86.47931848839958,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc5/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC6,indiana,41.66617345708035,-86.479366582007,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc6/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC7,indiana,41.66856902405336,-86.47521295512243,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc7/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC8,indiana,41.66771347465271,-86.47525876718367,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc8/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - New Carlisle South DC9,indiana,41.66604797254398,-86.47530457924489,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc9/,Hyperscale,P2,False,394200.0,1,
Amazon AWS ORD - Hobart,indiana,41.50334746012386,-87.29265321338971,50.0,1.22,https://aws.amazon.com/trust-center/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/gary/amazon-aws-ord-hobart/,Hyperscale,P2,False,394200.0,1,
Google Monroe Township,indiana,39.59718579563147,-86.45957997430014,50.0,1.22,https://datacenters.google/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/google-monroe-township/,Hyperscale,P2,False,394200.0,1,
Apple Waukee Campus,iowa,41.62026437506193,-93.9243794615756,50.0,1.22,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/apple-waukee-data-center/,Hyperscale,P2,True,394200.0,1,
COPT Van Meter DC1,iowa,41.538142,-93.931068,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc1/,Hyperscale,P3,False,394200.0,1,
COPT Van Meter DC10,iowa,41.53339,-93.922872,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc10/,Hyperscale,P3,False,394200.0,1,
COPT Van Meter DC11,iowa,41.534684,-93.920054,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc11/,Hyperscale,P3,False,394200.0,1,
COPT Van Meter DC12,iowa,41.533306,-93.919994,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc12/,Hyperscale,P3,False,394200.0,1,
COPT Van Meter DC13,iowa,41.532265,-93.920064,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc13/,Hyperscale,P3,False,394200.0,1,
