res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
115344311.67572497,127684674.9659657,115393286.98840722,359943715.259691,393571.17032983154,435678.2422077201,01031,5232615.073682172,25456687.0852235,17854.425662744034,86861.83118434869,120576926.74940714,411425.5959925756,153141362.0511892,522540.07339206885
283482417.9000085,151567296.48770523,292443194.2034487,411921031.01702607,967282.2643781708,517169.1381721515,01033,33491332.631952204,38108035.301092446,114277.18270945466,130030.02778834017,316973750.5319607,1081559.4470876255,189675331.78879768,647199.1659604916
47014185.52220901,43256698.106414266,46475307.92733913,122289548.37929519,160419.0770161213,147597.99639021658,01035,428559.2762118677,2231101.8557327176,1462.3051058521146,7612.836348223546,47442744.798420876,161881.3821219734,45487799.96214698,155210.83273844013
20775851.931912918,34006854.2007497,20462487.623107467,101564431.86628233,70890.1569626612,116036.21550625449,01037,335425.52495957655,732296.4704540228,1144.5195215866195,2498.6995432879303,21111277.456872493,72034.67648424782,34739150.671203725,118534.91504954243
80811986.86414714,103839166.35840079,91761583.24747619,285845965.00441736,275741.97448260477,354313.9807764864,01039,12741030.576292284,24122682.60262493,43474.2055526511,82310.01846108584,93553017.44043943,319216.1800352559,127961848.96102571,436623.9992375722
34511958.83381852,31739560.279538438,32736645.001666475,85807408.08798085,117759.70423914319,108299.88669134484,01041,1710866.7323177932,29643904.84360228,5837.7202337443,101149.21276085878,36222825.56613631,123597.42447288748,61383465.12314072,209449.09945220363
307533715.1330159,181187233.92518613,323264727.48375154,507027957.0790957,1049348.705821399,618236.5707399524,01043,36988731.54970617,40488550.92592189,126210.80444747751,138152.68513347695,344522446.68272203,1175559.5102688766,221675784.851108,756389.2558734294
90104265.80360985,134308656.0109842,105353639.50291255,373703950.51244587,307448.5497276609,458280.2061386317,01045,5912020.734831702,18033700.936510675,20172.654254190114,61533.54838090741,96016286.53844155,327621.20398185105,152342356.9474949,519813.7545195391
134154456.46509232,112416081.45886844,141524897.0147955,290783047.5189481,457754.05539171305,383579.63302122627,01047,25951034.852767833,39363852.74871002,88548.61596459294,134315.0552456889,160105491.31786016,546302.671356306,151779934.20757848,517894.68826691527
345178841.26999366,157457321.7558439,337507501.63176626,425343063.2734856,1177799.2218086787,537266.7407706288,01049,32866432.4177549,34393740.32267573,112144.93444278304,117356.3258920954,378045273.68774855,1289944.1562514617,191851062.07851964,654623.0666627241
164123808.79625556,190538907.71964723,165968756.2934102,544677344.7657232,560013.741193673,650145.8096643325,01051,37942172.06482259,107848184.48901562,129464.07887360788,367993.3199187188,202065980.86107814,689477.8200672809,298387092.20866287,1018139.1295830513
