fips,dc_count,total_it_load_mw,total_recoverable_kwh,total_heat_delivered_kwh,total_cooling_delivered_kwh,dc_count_hyperscale,it_load_mw_hyperscale,dc_count_ai_specialized,it_load_mw_ai_specialized,dc_count_midsize_colo,it_load_mw_midsize_colo,dc_count_small,it_load_mw_small,aggregated_count,original_it_load_mw,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu,heating_coverage_ratio,cooling_coverage_ratio,heating_coverage_pct,cooling_coverage_pct,heating_demand_mw,cooling_demand_mw,heat_delivered_mw,cooling_delivered_mw,county_name,state_abbr,county_label
02170,1,0.55,3945941.999999999,11837825.999999996,2762159.399999999,0,0.0,0,0.0,0,0.0,1,0.55,0,0.55,116642482.06560089,398000.7120402835,3904811.097043837,13323.76994628935,0.10148811813985822,0.7073733738595217,10.148811813985823,70.73733738595217,13.315351833972704,0.4457546914433604,1.3513499999999996,0.3153149999999999,Matanuska-Susitna Borough,AK,"Matanuska-Susitna Borough, AK"
02185,1,120.0,208137600.00000006,624412800.0000002,145696320.00000003,1,120.0,0,0.0,0,0.0,0,0.0,0,120.0,6881146.688272366,23479.44962321505,258021.3654783258,880.4055380459456,90.74255037524424,564.6676573852902,200.0,200.0,0.7855190283415944,0.029454493776064593,71.28000000000003,16.632000000000005,North Slope Borough,AK,"North Slope Borough, AK"
04005,1,3.0,21523319.999999996,64569959.999999985,15066323.999999996,0,0.0,0,0.0,0,0.0,1,3.0,0,3.0,809168387.6557789,2760997.4405925646,115708696.89659318,394814.50444613525,0.07979792708791303,0.13020908889384955,7.979792708791303,13.020908889384955,92.37082050865057,13.208755353492371,7.370999999999998,1.7198999999999995,Coconino County,AZ,"Coconino County, AZ"
04013,134,6854.36,14798154470.4,44394463411.2,10358708129.279999,55,6129.6,1,20.0,36,588.0,42,116.76,3,4987.36,2185790541.1458163,7458227.708646368,20349275233.406548,69434616.69346628,20.310483816042094,0.5090455561913352,200.0,50.90455561913352,249.51946816733064,2322.976624818099,5067.8611200000005,1182.500928,Maricopa County,AZ,"Maricopa County, AZ"
04019,11,74.6,292591008.0,877773024.0,204813705.6,1,34.6,0,0.0,2,30.0,8,10.0,0,39.6,1320906193.1932335,4507119.499854746,3718323380.7518134,12687447.377045251,0.6645233617067248,0.05508227354840461,66.45233617067248,5.508227354840461,150.78837821840565,424.46613935522987,100.2024,23.38056,Pima County,AZ,"Pima County, AZ"
04021,24,1457.0,2586976920.0000005,7760930760.000002,1810883844.0,14,1446.0,0,0.0,0,0.0,10,11.0,0,1398.0,130908103.56095888,446677.03830069734,1872824417.5011497,6390342.853581208,59.28533489438287,0.966926652107732,200.0,96.6926652107732,14.943847438465626,213.79274172387554,885.9510000000002,206.7219,Pinal County,AZ,"Pinal County, AZ"
04023,1,0.2,1434888.0,4304664.0,1004421.6,0,0.0,0,0.0,0,0.0,1,0.2,0,0.2,58232963.52599115,198699.1406315025,69991872.77685517,238822.20876056416,0.07392143108222024,0.014350546144153768,7.392143108222024,1.4350546144153769,6.647598576026387,7.989939814709494,0.4914,0.11466,Santa Cruz County,AZ,"Santa Cruz County, AZ"
05031,1,0.75,5380829.999999999,16142489.999999996,3766580.999999999,0,0.0,0,0.0,0,0.0,1,0.75,0,0.75,625649645.769991,2134805.4336169087,306333353.81009424,1045252.9025362824,0.025801165411247586,0.01229569341095982,2.5801165411247586,1.229569341095982,71.42119243949669,34.96956093722537,1.8427499999999994,0.4299749999999999,Craighead County,AR,"Craighead County, AR"
05035,2,51.0,93898440.0,281695320.0,65728907.99999999,1,50.0,0,0.0,0,0.0,1,1.0,0,0.0,316335489.437517,1079381.609600308,174020359.50634935,593782.1775267139,0.8904954689114667,0.37770814970418326,89.04954689114668,37.77081497041833,36.11135724172568,19.865337843190567,32.157,7.503299999999999,Crittenden County,AR,"Crittenden County, AR"
05045,1,1.0,7174439.999999999,21523319.999999996,5022107.999999999,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,539440618.3141751,1840647.990255766,316139921.6200553,1078714.3044364988,0.03989933139863157,0.015885712801674227,3.989933139863157,1.5885712801674228,61.57997925960903,36.089032148408144,2.4569999999999994,0.5732999999999998,Faulkner County,AR,"Faulkner County, AR"
05071,1,20.0,22075199.99999998,66225599.99999994,15452639.999999985,0,0.0,1,20.0,0,0.0,0,0.0,0,0.0,107723905.29707769,367569.2616681811,64796897.36900888,221096.21498248467,0.6147716221145623,0.2384780850231062,61.477162211456225,23.84780850231062,12.297249463136723,7.396906092352611,7.559999999999993,1.7639999999999985,Johnson County,AR,"Johnson County, AR"
05115,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,323858730.1572803,1105051.9752363227,154932619.57894814,528652.0984353513,0.7449248006463743,0.36333058947161045,74.49248006463743,36.33305894716104,36.97017467548862,17.686372098053443,27.54,6.426,Pope County,AR,"Pope County, AR"
